1069,-1145,490
4,1560,-20
192,-48,504
770,-1572,674
480,17,188
-578,1554,-631
-1584,2989,-1195
-1190,1931,-312
691,-2013,1125
2019,-3147,991
619,-535,360
90,636,514
955,-1201,900
1151,-1892,684
580,-261,469
562,407,270
506,-326,220
457,-569,290
603,-245,318
665,-246,335
698,-446,344
746,-380,446
1614,-322,512
2747,-599,587
4197,-787,230
3029,-464,-73
552,146,105
264,335,68
179,177,107
-46,46,194
103,113,172
346,-52,125
451,-213,124
299,-169,153
362,-196,142
441,-163,117
471,-69,123
464,19,109
433,34,109
441,4,81
467,14,60
498,-25,65
445,-126,92
506,-100,72
566,-79,74
641,-79,79
570,-51,47
580,16,62
582,37,64
562,41,64
542,53,73
547,4,75
641,-40,61
663,-86,41
694,-41,45
621,-26,31
614,-43,72
546,-142,64
483,-82,85
494,33,71
565,-43,60
531,-61,43
553,-14,48
544,-11,52
552,-23,40
530,-30,68
575,-38,53
563,11,58
592,-16,78
559,-33,52
611,-9,66
559,-38,61
516,-36,78
516,-24,56
540,-57,57
486,-21,89
502,-3,68
558,-58,74
525,-53,81
501,-42,80
579,-27,60
474,-59,68
491,-34,79
532,-21,80
544,6,77
572,-32,69
523,-16,65
520,2,70
494,-9,64
548,-22,55
528,-51,84
466,-14,76
491,-44,80
487,-12,82
481,-4,74
468,-12,85
469,-13,92
485,-39,88
492,-3,97
476,-18,91
494,-29,79
461,-16,63
454,-18,74
476,-8,54
473,25,42
466,-87,38
515,-43,51
479,-54,49
475,-71,59
525,-27,43
517,-58,68
523,-61,51
490,-32,69
493,-26,55
529,-48,58
448,-26,72
536,-27,46
507,-38,85
504,-14,64
496,-29,55
499,-17,38
531,-18,30
564,-27,37
487,-29,27
575,-39,41
515,-13,32
518,-22,56
468,-35,41
590,-44,21
500,-14,55
521,-30,37
555,-44,39
542,-39,38
478,-39,44
583,-6,39
587,-60,16
546,-46,63
535,-51,41
532,-42,22
515,-34,48
561,-26,15
534,-46,52
531,-29,26
545,-14,34
486,-15,49
510,-22,57
545,0,49
576,-35,49
487,17,61
520,-24,34
568,-20,49
523,-32,41
598,-24,61
495,-9,61
572,-20,58
509,1,46
530,-19,57
546,-42,49
483,30,60
582,-21,67
568,-25,57
505,-25,82
573,-47,39
596,-15,74
530,-26,66
559,-30,69
531,-14,58
543,8,54
586,4,54
543,-37,52
524,-5,55
595,-7,65
574,-30,68
560,-3,57
533,-19,53
543,-16,40
580,3,53
522,-23,65
488,11,28
575,-55,6
551,-26,46
556,-27,33
534,-30,58
478,-14,29
565,-39,47
513,-8,39
567,-30,15
549,-56,38
523,-29,33
573,-40,38
470,-39,60
569,-81,29
494,-36,58
539,-41,24
594,-26,31
534,-55,45
613,-27,37
517,-29,29
564,-40,29
510,-3,78
574,-20,39
524,-35,33
499,-21,32
550,-25,32
523,-43,57
487,-8,26
519,-3,33
586,-58,13
480,17,38
603,-62,42
515,-40,46
502,-14,38
547,-51,24
543,-36,14
509,-30,42
552,-48,38
525,-23,28
547,-55,32
550,-53,22
492,-3,33
585,-67,37
517,-16,22
506,-59,26
500,-9,13
549,-44,21
522,-31,27
551,-31,18
533,-56,29
522,7,39
563,-47,12
562,-36,22
530,-6,27
595,-42,6
499,-19,24
534,-42,22
539,-44,18
564,-32,-25
529,-38,37
517,-20,18
578,-56,6
486,-19,21
562,-48,4
509,-40,9
509,-29,6
551,-54,18
569,-56,22
465,-40,26
535,-41,10
498,-30,41
562,-53,0
530,-37,6
486,-49,22
582,-47,8
517,-47,28
499,-36,17
552,-35,19
563,-55,-6
451,-24,27
551,-49,-6
566,-56,-10
445,-41,40
600,-41,6
534,-67,-5
513,-49,42
519,-38,1
535,-53,18
567,-46,-1
438,-35,25
546,-39,2
569,-70,17
468,-58,18
567,-22,-5
540,-81,23
547,2,4
578,-76,19
522,-61,19
478,-12,24
526,-73,3
545,-28,-3
513,-58,42
523,-28,27
559,-62,20
535,-68,40
551,-36,19
522,-54,25
471,-50,20
527,-52,32
561,-59,14
441,-32,38
565,-50,22
545,-45,15
525,-33,9
488,-44,22
586,-38,14
514,-43,29
538,-27,24
509,-67,42
593,-34,-4
466,-45,29
501,-67,56
584,-81,-2
481,-47,28
549,-61,22
526,-54,15
563,-35,13
515,-70,30
550,-51,21
563,-38,4
460,-29,56
536,-40,4
561,-53,15
457,-15,21
531,-39,39
507,-20,8
542,-33,39
535,-51,30
528,-35,15
477,-27,33
503,-32,31
540,-71,15
531,-29,7
499,-31,49
475,-49,-1
511,-53,12
509,-49,52
491,-27,20
508,-75,37
572,-42,19
480,-51,35
474,-57,41
578,-58,15
508,-72,12
495,-45,25
510,-57,37
526,-68,19
506,-29,7
541,-75,33
504,-66,-16
454,-55,33
513,-66,16
529,-27,-3
473,-75,42
549,-35,4
516,-50,21
481,-35,22
535,-21,10
510,-76,17
528,-34,27
489,-53,28
589,-44,16
526,-73,54
545,-71,21
453,-45,48
585,-33,2
509,-74,53
532,-23,19
507,-74,4
